,log2FoldChange,padj
100506963,0.0231153790852226,0.955534513473362
57095,0.107123639937457,0.716385905773161
105376860,-0.0176644780602695,0.97639219897801
11313,0.0161500666051889,0.977396760197013
2582,-0.0877254023287643,0.902097632679853
3155,-0.0767437099173613,0.92498521953511
105376861,0.526835086131996,0.64643801975028
2517,0.150009329749133,0.960651983343389
1269,-1.35385303351875,0.612756563406749
107984929,-1.73325388787759,NA
55629,-0.0905584565862424,0.891417015398023
10772,-0.0986220804835701,0.879196530714733
105376863,-0.396974343452122,0.93696684432464
107984931,-0.00476262605741681,0.999343674034035
127294,-0.620130623172948,0.775829646980929
107985737,-0.0365597778939354,0.994843562238479
105376864,-1.38783613710045,0.176390068513027
58985,1.40365260831417,0.232196115737238
163702,-0.167269626311282,0.727291360888178
284632,-0.000161781198291189,NA
105376871,-0.607173449014617,0.791166242133023
57822,-0.0439687355949792,0.984045752918193
90529,0.453958036736645,0.500180982047198
57185,0.463202665962372,0.615372974881867
100750325,-1.0069524649359,0.154621732946703
11123,0.254590199454682,0.871029345937283
100506985,0.376800427933509,0.769935254066472
400746,0.472150419135911,0.811616627377589
10250,0.551895947479861,0.115161806542983
25932,-0.0775116554419748,0.968393775277697
105376876,-0.0452495919579716,NA
864,-0.508250474171869,0.851057018169701
102465437,-0.911427564348749,NA
107984932,-0.930675799472452,0.804781343001633
105376878,-1.3898211774755,0.611424610704307
25949,-0.0775136312542851,0.953305746713502
57035,-0.799332035428584,0.0459681681131175
105376882,-0.948291141512622,NA
6007,-0.0177287128131301,0.994843562238479
23585,0.0717440370962038,0.811378790476643
6006,0.0561394847603004,0.845437354978707
55219,0.31945172639618,0.000200480571782323
26119,-0.315114299150609,0.679329319003978
57134,0.217095253588587,0.862137124128759
57190,0.245438335076005,0.780453077880403
56181,-0.036233275430586,0.929693454872134
646471,-0.246217119400434,0.105831409911877
79000,-0.0185728892544533,0.969115444269548
164091,-0.0636838624983021,0.979837440258456
3925,0.179927720773998,0.91579733865279
100500808,0.140202164305477,0.949227666004374
105376885,-1.02740280934719,NA
5051,0.115823486903905,0.866050884398749
101928216,-0.27536981383099,0.248319278468999
2134,-0.177608157885446,0.793496461149359
7780,0.090267038270385,0.98536068308907
105376910,-0.210657341122307,0.970749385506948
84676,-0.25507525125695,0.970749385506948
149420,0.177286080406626,0.832518726088408
105376886,-0.766683623611598,NA
79927,-0.334094929927874,0.909388039025388
110806296,0.210833655246186,0.969368772688829
51042,-0.0303033034642734,0.991814157609559
10256,-0.504922925067415,0.458300815552167
378807,-0.877666155107689,NA
101928303,-0.399610822146361,0.645009851106918
64793,-0.124478535956908,0.953305746713502
83442,-0.0400019531079793,0.987458695556809
91544,-0.849922551990323,0.00599291927656205
1043,-0.928828007580667,0.783728031823685
55057,-1.46501273640929,0.0137837240110929
257101,-0.972853429278025,0.734592762726614
79727,-1.10320869906859,0.379368929141242
79947,0.0323390434127616,0.973883330309274
101928324,0.129045378446651,0.955991235738713
3151,-0.197977104652054,0.605359758113428
6195,-0.206398429962687,0.866615409591102
100302190,-0.699914463093139,NA
105376888,-0.0287889333069179,0.994239884915163
101928728,0.269949620026771,0.764841821355755
8289,0.646829844523494,0.0976049312773303
55650,0.0538821370822666,0.946215031074724
84243,-0.0115930168433125,0.996759285794407
2810,-0.218997820879922,0.91215788317991
54707,-0.157319100405394,0.131426777867072
63906,-0.0301994870364383,0.963322917861539
10726,0.158351481211645,0.740350406350892
8431,-0.849522032569933,0.744807044200626
126695,0.132669042109314,0.962056469770589
388610,0.554787461157268,0.778577833198121
115572,0.594936783104531,0.640926363385048
101928391,-0.0847696996185052,0.963322917861539
6548,0.438230042558415,0.500525793148071
23038,0.302378374457739,0.767295423639648
84065,-0.124311262552421,0.729137796288657
644961,0.27542235604649,0.770049803473222
84958,-0.919131374004469,0.120292892999324
9064,-0.579477684604218,0.743221688606599
8547,-0.779416679076712,0.822152863608195
388611,-1.49116446132667,0.235928242042218
2827,-0.370466800794622,0.701770395779887
10163,-0.0669769732206219,0.981322650160617
105376892,0.909184094075847,0.326033390194204
27245,0.548100796039505,0.224792773695902
2268,-0.788301383997591,0.645444407505691
111216282,-0.261185700368337,0.891903823722083
2537,-0.198156464648946,0.91720277028738
199870,0.0467490696727428,0.936984730130805
23673,0.0436386089034769,0.953305746713502
5511,0.0494603454142719,0.939796669807948
677774,1.45818261691621,0.000197700703467391
9473,-0.909688085955649,0.608117531744947
6118,-0.0620911170637439,0.907764484816196
27293,-0.511289118738343,0.51989112094593
55113,0.158944373248091,0.883030971540074
2140,0.149153292886884,0.624733177921577
5724,-0.113885744064002,0.977396760197013
22826,0.152517373086916,0.38313041748151
93974,0.0477882679969503,0.954410339999341
83667,0.230617205622475,0.607775947710878
54797,0.177669906226584,0.402524793542829
65979,0.606981958368885,0.0098043419956883
1104,-0.346273050569116,0.718350472458222
8420,-0.941472673419444,0.00145363334331723
6080,0.272637426469773,0.726662946179417
26768,0.617576458027935,0.175841662818649
54952,-0.234358087268026,0.360167458299614
85028,-0.84058306781976,6.6068520136666E-06
692212,-1.25032760410737,0.00138527132367047
677838,0.899498746252033,0.00680537340476619
677825,-0.0529288158876844,0.977396760197013
692073,-0.134261259172444,0.884861537100878
115273,-0.113413153370956,0.963322917861539
6883,-0.0952693970062272,0.839006448414953
105378616,-0.096551650311554,0.946506097765311
26824,0.0619477567022517,0.970749385506948
10691,0.11753649885053,0.85242490659763
51441,0.0792475153540959,0.773119569571406
4985,0.542895878577773,0.80204445949709
2035,0.288018214080808,0.884361079834372
399474,0.0902430658009783,0.885348363261009
6429,-0.0910949625363604,0.892986637185284
51102,0.00889690429116383,0.99686044333362
10076,-0.430736670232126,0.595742208809625
101928460,0.166367550593868,0.969368772688829
107984933,0.412295212595771,0.91191055547497
107984934,-0.649447799115322,0.476084120658263
105378617,-0.93316390782488,0.687133292256375
4146,-0.863217067743519,0.000430982774211179
100129196,-1.11118967822355,8.49565421409492E-05
7805,-0.580207630668265,0.808567732371399
100616164,-1.73728247891326,0.231775604928377
105378620,-1.68235563813408,0.186289632549543
105378621,1.68739450368137,NA
105378622,0.762541440923751,0.607056388979128
400748,-0.226058397254529,0.950399434199731
9672,0.286261380534475,0.588551524540113
9698,0.0684585739229195,0.885084345235948
692234,-0.68127591334376,0.109601189701864
692235,-0.541085651268011,0.178446473376418
692200,-0.56353131879144,0.41437629689834
107984935,1.00268203220523,0.408452399797967
79570,1.75419489460819,0.0662025885429095
9410,0.0347056366771074,0.95873015868692
51538,0.0164860738693299,0.986279659708639
2170,1.45129528091344,0.0481095636652882
105378623,1.35871352460131,NA
107985470,-0.136763960155058,NA
347735,-0.491508815887781,0.791166242133023
284551,1.10914207823656,NA
105378626,0.178937797455783,0.970749385506948
64129,0.0761066853766522,0.987795141874343
3061,-0.176877238329942,0.63074333316001
553115,0.121265148386864,0.734592762726614
107985471,-0.521249675062946,0.155569269541246
105378628,-0.514827860532896,0.299831721091632
1307,-1.01617435413819,0.585970622430338
101929444,-1.10319227818902,0.0995761930613329
576,-0.0150955032471231,0.996160461535029
100423028,-0.67295899446617,NA
90853,-0.571750286972184,0.85176343256579
8073,-0.139424598017401,0.871467555567759
10657,0.134851134601609,0.64635938414622
55116,-0.00330843697960254,0.997161978546359
100847018,-0.493490306138384,NA
23633,0.438421765879435,4.45583522036642E-06
200081,-0.247684133321576,0.832301011819933
79140,0.0332187104157371,0.984478739809203
56063,-0.262037561612466,0.233697285222804
55721,-0.135335934070137,0.770628518427649
149069,-0.243392734483023,0.628687646730079
8668,0.00231920214996278,0.998388631034747
339483,-1.00349198393361,0.0411737803287404
84734,-0.136456721347985,0.955991235738713
3932,-0.703263369062248,0.89471786483884
3065,-0.0193717554861288,0.98572212456377
65108,0.487613671722895,0.0749594230468255
105378629,-0.257335675774722,0.56813360485182
81629,-0.56040200970707,0.00935230299782542
100128071,-0.129760321642817,0.920579551584928
55108,-0.0810638862278725,0.433215951241247
